id	Geolocation2	Lineage_group	Assembly_acc	Strain
CONTROL_REF	REF	REF	REF	REF
2_QLD_GCA_022046545.1	Australia_QLD	2	GCA_022046545.1	M95768
2_QLD_GCA_022046185.1	Australia_QLD	2	GCA_022046185.1	M07824
2_QLD_GCA_022046165.1	Australia_QLD	2	GCA_022046165.1	M06114_3
2_QLD_GCA_022048585.1	Australia_QLD	2	GCA_022048585.1	M01234
2_QLD_GCA_022046945.1	Australia_QLD	2	GCA_022046945.1	M01235
2_QLD_GCA_022046105.1	Australia_QLD	2	GCA_022046105.1	M00945
2_QLD_GCA_023466735.1	Australia_QLD	2	GCA_023466735.1	M00680
2_QLD_GCA_022046085.1	Australia_QLD	2	GCA_022046085.1	M00363
2_QLD_GCA_022045545.1	Australia_QLD	2	GCA_022045545.1	M912103
2_QLD_GCA_022046065.1	Australia_QLD	2	GCA_022046065.1	M911842
2_QLD_GCA_022045565.1	Australia_QLD	2	GCA_022045565.1	M911619
2_QLD_GCA_022046025.1	Australia_QLD	2	GCA_022046025.1	M911620
2_QLD_GCA_022046005.1	Australia_QLD	2	GCA_022046005.1	M911364
2_QLD_GCA_022045985.1	Australia_QLD	2	GCA_022045985.1	M911375
2_QLD_GCA_022046925.1	Australia_QLD	2	GCA_022046925.1	M911373
2_QLD_GCA_022045945.1	Australia_QLD	2	GCA_022045945.1	M911362
2_QLD_GCA_022046885.1	Australia_QLD	2	GCA_022046885.1	M911144
2_QLD_GCA_022045925.1	Australia_QLD	2	GCA_022045925.1	M911140
2_QLD_GCA_022046425.1	Australia_QLD	2	GCA_022046425.1	M911146
2_QLD_GCA_022048565.1	Australia_QLD	2	GCA_022048565.1	M911374
2_QLD_GCA_022046905.1	Australia_QLD	2	GCA_022046905.1	M911142
2_QLD_GCA_022046565.1	Australia_QLD	2	GCA_022046565.1	M910881
2_QLD_GCA_022045905.1	Australia_QLD	2	GCA_022045905.1	M910665_1
2_QLD_GCA_022045885.1	Australia_QLD	2	GCA_022045885.1	M91414
2_QLD_GCA_022046825.1	Australia_QLD	2	GCA_022046825.1	M910478
2_QLD_GCA_022045865.1	Australia_QLD	2	GCA_022045865.1	M910479
2_QLD_GCA_022046865.1	Australia_QLD	2	GCA_022046865.1	M99826
2_QLD_GCA_022045805.1	Australia_QLD	2	GCA_022045805.1	M99825
2_QLD_GCA_023466715.1	Australia_QLD	2	GCA_023466715.1	M99402
2_QLD_GCA_022046845.1	Australia_QLD	2	GCA_022046845.1	M99250
2_QLD_GCA_022046745.1	Australia_QLD	2	GCA_022046745.1	M98884
2_QLD_GCA_022046725.1	Australia_QLD	2	GCA_022046725.1	M98889
2_QLD_GCA_022117075.1	Australia_QLD	2	GCA_022117075.1	M98516
2_QLD_GCA_022046585.1	Australia_QLD	2	GCA_022046585.1	M98147
2_QLD_GCA_022045825.1	Australia_QLD	2	GCA_022045825.1	M97945
2_QLD_GCA_022046805.1	Australia_QLD	2	GCA_022046805.1	M97750
2_QLD_GCA_022045785.1	Australia_QLD	2	GCA_022045785.1	M96011
1_QLD_GCA_022046645.1	Australia_QLD	1	GCA_022046645.1	M94927
1_QLD_GCA_022046125.1	Australia_QLD	1	GCA_022046125.1	M01236
1_QLD_GCA_022046505.1	Australia_QLD	1	GCA_022046505.1	M93924
1_QLD_GCA_022045965.1	Australia_QLD	1	GCA_022045965.1	M93370
1_QLD_GCA_022045845.1	Australia_QLD	1	GCA_022045845.1	M810885
2_UK_GCA_900178555.1	UK	3	GCA_900178555.1	VREN2776
2_UK_GCA_900178745.1	UK	3	GCA_900178745.1	VREN2771
2_UK_GCA_900178845.1	UK	3	GCA_900178845.1	VREN2617
2_UK_GCA_900179295.1	UK	3	GCA_900179295.1	VREN2769
2_UK_GCA_900178815.1	UK	3	GCA_900178815.1	VREN2654
2_UK_GCA_900179085.1	UK	3	GCA_900179085.1	VREN3241
2_UK_GCA_900178915.1	UK	3	GCA_900178915.1	VREN2775
2_UK_GCA_900178935.1	UK	3	GCA_900178935.1	VREN2831
2_UK_GCA_900178755.1	UK	3	GCA_900178755.1	VREN2777
2_UK_GCA_900179785.1	UK	3	GCA_900179785.1	VREN1874
2_UK_GCA_900180175.1	UK	3	GCA_900180175.1	VREN2773
2_UK_GCA_900178725.1	UK	3	GCA_900178725.1	VREN2830
2_UK_GCA_900178855.1	UK	3	GCA_900178855.1	VREN2770
2_UK_GCA_900179055.1	UK	3	GCA_900179055.1	VREN3240
2_UK_GCA_900178835.1	UK	3	GCA_900178835.1	VREN2724
2_UK_GCA_900178905.1	UK	3	GCA_900178905.1	VREN2774
2_UK_GCA_900178785.1	UK	3	GCA_900178785.1	VREN2656
2_UK_GCA_900178715.1	UK	3	GCA_900178715.1	VREN2655
2_UK_GCA_900178625.1	UK	3	GCA_900178625.1	VREN3239
2_UK_GCA_900178975.1	UK	3	GCA_900178975.1	VREN2772
2_UK_GCA_900178875.1	UK	3	GCA_900178875.1	VREN2657
2_UK_GCA_900179915.1	UK	3	GCA_900179915.1	VREN3734
2_UK_GCA_900178765.1	UK	3	GCA_900178765.1	VREN3243
2_UK_GCA_900178925.1	UK	3	GCA_900178925.1	VREN2653
2_UK_GCA_900178985.1	UK	3	GCA_900178985.1	VREN2829
2_UK_GCA_900178595.1	UK	3	GCA_900178595.1	VREN2778
2_1_VIC_GCA_015474165.1	Australia_VIC	4	GCA_015474165.1	AUSMDU00039418
2_1_VIC_GCA_015406545.1	Australia_VIC	4	GCA_015406545.1	AUSMDU00034649
2_1_VIC_GCA_015396145.1	Australia_VIC	4	GCA_015396145.1	AUSMDU00034648
2_1_VIC_GCA_015396165.1	Australia_VIC	4	GCA_015396165.1	AUSMDU00034166
2_1_VIC_GCA_015390325.1	Australia_VIC	4	GCA_015390325.1	AUSMDU00034164
2_1_VIC_GCA_015382945.1	Australia_VIC	4	GCA_015382945.1	AUSMDU00034157
2_1_VIC_GCA_015382775.1	Australia_VIC	4	GCA_015382775.1	AUSMDU00032877
2_1_VIC_GCA_015381435.1	Australia_VIC	4	GCA_015381435.1	AUSMDU00073264
2_1_VIC_GCA_015380825.1	Australia_VIC	4	GCA_015380825.1	AUSMDU00048248
2_1_VIC_GCA_015380885.1	Australia_VIC	4	GCA_015380885.1	AUSMDU00048247
2_1_VIC_GCA_015381585.1	Australia_VIC	4	GCA_015381585.1	AUSMDU00048235
2_1_VIC_GCA_015371545.1	Australia_VIC	4	GCA_015371545.1	AUSMDU00048102
2_1_VIC_GCA_016171885.1	Australia_VIC	4	GCA_016171885.1	AUSMDU00047077
2_1_VIC_GCA_021036285.1	Australia_VIC	4	GCA_021036285.1	AUSMDU00046080
2_1_VIC_GCA_021041225.1	Australia_VIC	4	GCA_021041225.1	AUSMDU00047010
2_1_VIC_GCA_021030845.1	Australia_VIC	4	GCA_021030845.1	AUSMDU00038588
2_1_VIC_GCA_021093115.1	Australia_VIC	4	GCA_021093115.1	AUSMDU00038589
2_1_VIC_GCA_021093055.1	Australia_VIC	4	GCA_021093055.1	AUSMDU00038594
2_1_VIC_GCA_021093075.1	Australia_VIC	4	GCA_021093075.1	AUSMDU00037851
2_1_VIC_GCA_021093015.1	Australia_VIC	4	GCA_021093015.1	AUSMDU00034156
2_1_VIC_GCA_021040285.1	Australia_VIC	4	GCA_021040285.1	AUSMDU00032880
2_1_VIC_GCA_021040225.1	Australia_VIC	4	GCA_021040225.1	AUSMDU00054581
2_1_VIC_GCA_021092955.1	Australia_VIC	4	GCA_021092955.1	AUSMDU00048618
2_1_VIC_GCA_021092935.1	Australia_VIC	4	GCA_021092935.1	AUSMDU00053621
2_1_VIC_GCA_021040165.1	Australia_VIC	4	GCA_021040165.1	AUSMDU00053025
2_1_VIC_GCA_021092855.1	Australia_VIC	4	GCA_021092855.1	AUSMDU00053021
2_1_VIC_GCA_021246505.1	Australia_VIC	4	GCA_021246505.1	AUSMDU00052865
2_1_VIC_GCA_021244945.1	Australia_VIC	4	GCA_021244945.1	AUSMDU00052376
